frames_to_process,split_no,flops,total_processing_time,single_frame_time,left_output_size,avg_consec_inference_gap,total_left_model_time,total_right_model_time,Model
10,25,0.0541,91.539174,9.1539174,1843200,8.855136889,2.00408,51.010344,EfficientNetV2L
10,25,0.0541,91.53744,9.153744,1843200,8.855288,2.034106,0,EfficientNetV2L
10,26,0.0541,90.951694,9.0951694,1843200,8.924907444,1.873585,0,EfficientNetV2L
10,26,0.0541,90.952375,9.0952375,1843200,8.924922778,1.864488,47.607282,EfficientNetV2L
10,27,0.0564,69.146326,6.9146326,921600,6.684808111,1.967417,45.679915,EfficientNetV2L
10,27,0.0564,69.149784,6.9149784,921600,6.684933778,1.980368,0,EfficientNetV2L
10,28,0.0564,68.2968,6.82968,921600,6.636396333,2.023768,0,EfficientNetV2L
10,28,0.0564,68.297238,6.8297238,921600,6.636344222,1.981482,45.995093,EfficientNetV2L
10,35,0.1036,68.276574,6.8276574,921600,6.534856333,2.815333,45.709488,EfficientNetV2L
10,35,0.1036,68.278332,6.8278332,921600,6.535021778,2.838986,0,EfficientNetV2L
